60,Pinch model 4,9201.38,44,86,1488
61,Head model 3,0.00,0,0,402
62,Johnson model 3,461.78,19,209,1681
63,Skip Shot model 1,4.58,27,381,172
64,Head model 2,92.87,191,52,3246
65,Z-Ball model 1,1.38,143,93,2301
66,E-Force model 2,0.00,0,0,437
67,Skip Shot model 1,3.33,156,22,1527
68,Spalding model 1,2.89,100,374,2289
69,Bubble Face model 1,5.14,54,60,2481
70,Nelson model 4,0.00,0,0,2579
71,Roll Out model 4,3184.91,67,273,1171
72,Pinch model 1,0.00,0,0,1945
73,Roll Out model 3,550.84,99,25,2932
74,Roll Out model 1,7.12,173,114,2861
75,Pinch model 2,44.72,121,37,3758
76,Roll Out model 4,7872.15,69,371,3851
77,Swain model 2,44.51,17,325,3707
78,Z-Ball model 1,1.16,29,57,2813
79,Nike model 3,166.59,22,39,3294
80,Nike model 4,8723.82,190,188,1489
81,Ektelon model 3,708.33,178,96,257
82,Wilson model 1,3.22,98,350,3627
83,Skip Shot model 1,7.09,185,160,2793
84,Johnson model 1,6.70,115,103,3694
85,Wilson model 3,063.07,53,112,1869
86,Wilson model 4,8080.71,51,65,35
87,Beefcake model 1,6.57,151,209,3905
88,Roll Out model 1,5.72,69,98,822
89,Roll Out model 3,403.53,78,279,3007
90,Spalding model 1,9.79,107,130,1256
91,Ellis model 4,6252.38,80,199,143
92,Reebok model 4,9571.39,60,363,3169
93,Ellis model 4,5941.18,85,124,2667
94,Spalding model 4,6781.39,107,53,878
95,Nike model 1,9.50,141,280,1250
96,Reebok model 3,374.23,192,2,592
97,Bubble Face model 3,148.68,166,45,3080
98,Ellis model 3,081.01,42,110,3557
99,Z-Ball model 2,18.50,29,377,470
100,Santa Anne Company model 3,372.70,132,332,3713
101,Ellis model 2,08.60,74,28,244
102,CourtPlay model 4,0867.50,84,128,1680
103,Swain model 1,0.92,189,312,3332
104,Pinch model 1,6.26,117,300,3564
105,Bubble Face model 1,1.07,97,354,2493
106,First USA model 3,397.95,138,330,3100
107,First USA model 1,5.28,168,154,1370
108,Z-Ball model 1,2.07,157,350,239
109,Nike model 1,5.97,23,164,2339
110,Spalding model 4,0.00,0,0,44
111,Gemini model 1,2.27,176,40,2880
112,Pinch model 2,50.76,32,229,3070
113,Johnson model 4,5699.96,131,250,884
114,Gemini model 4,0.00,0,0,196
115,Roll Out model 4,1039.07,3,167,1078
116,Spalding model 2,92.50,107,46,3881
117,Nelson model 1,7.30,144,6,273
118,Pro Kennex model 4,7242.42,76,231,2228
119,Bubble Face model 1,2.49,54,62,3740
120,Roll Out model 4,4153.13,162,282,2368
121,Johnson model 4,0.00,0,0,1237
122,First USA model 4,3854.71,120,319,3597
123,CourtPlay model 4,4770.22,47,273,3143
124,Ellis model 2,05.26,80,52,851
125,Pro Kennex model 1,5.31,186,128,3873
126,Z-Ball model 4,2439.53,126,371,588
127,Ellis model 3,881.04,25,8,495
128,Beefcake model 4,6419.81,187,244,1781
129,Nelson model 2,42.92,171,22,3467
130,CourtPlay model 4,3613.35,169,161,3615
131,Nike model 3,490.73,103,175,372
132,Reebok model 4,1588.67,68,266,3584
133,Bubble Face model 1,2.77,54,384,1211
134,Roll Out model 2,96.96,173,272,3702
135,Z-Ball model 3,156.81,126,371,160
136,Gosen model 1,1.99,111,221,2192
137,Wilson model 2,54.34,75,315,345
138,CourtPlay model 3,628.88,169,386,3461
139,Bubble Face model 2,46.38,166,185,862
140,Nelson model 4,9993.55,148,17,2233
141,Roll Out model 4,7448.02,63,363,2997
142,Santa Anne Company model 4,2430.05,6,336,793
143,Genesis model 3,995.53,30,115,2461
144,First USA model 2,63.49,153,379,2815
145,Beefcake model 1,4.72,48,341,2394
146,Santa Anne Company model 2,90.08,132,248,332
147,Roll Out model 2,08.10,128,234,3364
148,Genesis model 1,0.00,0,0,2913
149,Genesis model 3,470.67,183,281,536
150,Reebok model 1,0.00,0,0,3058
151,Bubble Face model 1,0.50,142,76,1374
152,Ellis model 4,7512.84,188,202,2377
153,Head model 3,465.16,191,44,2723
154,Spalding model 1,0.88,8,325,2217
155,Skip Shot model 2,49.82,158,22,1273
156,Roll Out model 1,1.27,67,152,167
157,Skip Shot model 1,9.73,158,28,1448
158,Beefcake model 2,79.19,56,263,393
159,Beefcake model 3,918.31,45,332,2290
160,Head model 1,4.58,33,381,737
161,Santa Anne Company model 2,15.09,119,66,4000
162,CourtPlay model 4,5517.62,84,394,3372
163,Head model 1,1.29,52,195,241
164,Beefcake model 2,01.53,48,153,1989
165,Skip Shot model 2,0.00,0,0,1398
166,Z-Ball model 4,0476.38,143,132,3666
167,Nike model 1,5.92,103,351,2306
168,Spalding model 2,70.82,100,331,2849
169,CourtPlay model 1,9.34,43,204,2551
170,Pinch model 4,9269.13,121,234,1329
171,Nike model 2,22.29,34,382,2780
172,Reebok model 4,1995.75,160,316,2897
173,Bubble Face model 2,40.75,142,3,3382
174,Reebok model 3,906.38,181,125,2340
175,Swain model 4,1590.45,170,171,382
176,Gosen model 4,4219.99,106,108,60
177,Skip Shot model 4,1023.71,185,366,2377
178,Swain model 1,5.39,41,324,2069
179,Pinch model 2,56.67,133,52,1723
180,Swain model 4,0758.56,41,121,3213
181,Wilson model 1,4.81,92,197,913
182,E-Force model 1,5.46,180,219,609
183,Marty Hogan model 2,93.43,93,159,2665
184,Pinch model 4,3146.80,44,206,1871
185,Wilson model 3,175.40,98,95,995
186,Nike model 1,1.69,34,53,2997
187,Roll Out model 4,6938.31,67,322,1703
188,Santa Anne Company model 4,3351.35,125,78,1612
189,First USA model 3,734.32,87,258,2715
190,Z-Ball model 2,96.05,145,312,324
191,Ellis model 4,0917.57,85,45,636
192,Wilson model 2,47.51,53,224,861
193,Ellis model 1,5.54,94,377,439
194,CourtPlay model 1,2.23,20,248,3833
195,Spalding model 3,582.18,150,160,3489
196,Head model 2,52.78,149,183,2095
197,Gemini model 1,0.00,0,0,1322
198,E-Force model 2,62.89,83,274,1209
199,Z-Ball model 3,926.10,116,232,697
200,Nike model 2,48.07,141,279,2730
201,E-Force model 3,216.75,35,239,2068
202,Roll Out model 4,8625.83,162,381,3079
203,Nike model 3,543.61,23,392,1179
204,Santa Anne Company model 4,6438.05,90,127,2378
205,Bubble Face model 3,992.17,66,240,3940
206,Gosen model 2,66.68,106,279,492
207,Ellis model 2,0.00,0,0,2834
208,Z-Ball model 3,897.02,70,314,3101
209,Skip Shot model 1,7.51,185,328,2351
210,Gosen model 2,0.00,0,0,3245
211,Spalding model 2,50.04,8,381,188
212,Pinch model 1,4.18,140,30,2587
213,CourtPlay model 3,494.71,169,31,2725
214,Ektelon model 4,2846.42,102,194,3974
215,Nelson model 3,989.36,136,262,1208
216,E-Force model 2,95.55,180,205,3827
217,Beefcake model 3,132.68,45,221,3092
218,Roll Out model 1,8.94,128,214,1020
219,First USA model 1,6.25,153,288,1871
220,Roll Out model 3,697.71,128,298,3578
221,Head model 3,611.18,52,242,3492
222,Ektelon model 4,1321.98,102,346,2251
223,Head model 3,453.63,52,242,1862
224,Gosen model 3,031.17,21,168,114
225,Nelson model 2,95.48,136,151,1245
226,Z-Ball model 2,32.24,143,377,2426
227,Gemini model 4,3459.77,58,88,1178
228,First USA model 2,58.57,120,21,3606
229,Gemini model 4,0.00,0,0,3118
230,Z-Ball model 3,265.31,143,15,200
231,Bubble Face model 2,56.45,97,162,964
232,Z-Ball model 1,1.10,116,103,2893
233,Pinch model 3,342.12,179,25,699
234,Bubble Face model 3,074.23,15,353,3426
235,Ellis model 2,73.49,37,102,3134
236,Ektelon model 1,9.70,178,70,230
237,Nike model 3,814.85,34,84,1625
238,Santa Anne Company model 2,98.49,161,94,264
239,Nike model 1,7.25,103,339,1521
240,Z-Ball model 3,274.91,116,147,3256
241,Gosen model 4,4029.12,167,293,3741
242,Gemini model 1,1.78,58,136,3288
243,Wilson model 2,44.03,195,176,2886
244,Reebok model 4,9217.61,118,232,1889
245,Ellis model 1,3.95,188,176,334
246,Beefcake model 3,449.16,151,156,1404
247,Skip Shot model 2,38.43,89,61,526
248,Ektelon model 2,47.64,88,52,2058
249,Johnson model 4,0594.10,115,95,372
250,CourtPlay model 1,9.13,47,194,1244
251,Nike model 3,658.15,23,269,3749
252,Johnson model 3,132.21,28,23,259
253,Bubble Face model 2,86.33,2,144,2631
254,Beefcake model 2,00.11,151,200,2222
255,Bubble Face model 1,7.82,66,381,427
256,Pro Kennex model 2,72.53,76,12,1436
257,Ellis model 2,69.46,85,44,1261
258,Spalding model 1,6.47,182,305,3378
259,Beefcake model 3,889.04,48,64,3606
260,Pinch model 3,411.01,133,2,3774
261,Nelson model 4,7417.55,144,204,115
262,Wilson model 2,73.63,51,289,2378
263,Nike model 2,76.94,34,157,61
264,Reebok model 2,35.58,118,111,1152
265,Pinch model 3,508.32,133,99,2475
266,First USA model 2,05.63,101,282,811
267,CourtPlay model 2,17.77,84,270,3433
268,First USA model 4,7954.02,87,150,3849
269,Z-Ball model 2,48.87,130,385,3939
270,Z-Ball model 3,512.93,116,145,3425
271,Gosen model 2,91.52,59,183,2861
272,Pro Kennex model 4,4179.36,46,229,2139
273,Ellis model 4,1078.48,91,48,963
274,Bubble Face model 3,629.53,15,280,2647
275,Roll Out model 4,3576.33,67,218,2242
276,Nike model 3,367.59,190,25,2578
277,Gemini model 3,740.26,55,38,2382
278,Reebok model 2,44.01,192,276,1749
279,Johnson model 2,74.89,115,116,1638
280,Roll Out model 1,6.22,99,24,2997
281,Swain model 4,6578.70,170,8,3692
282,Santa Anne Company model 4,1956.85,161,335,1215
283,Ellis model 1,6.57,80,183,1064
284,Beefcake model 3,332.76,56,342,3805
285,Wilson model 2,71.17,98,367,2877
286,CourtPlay model 2,14.36,20,244,2698
287,Johnson model 3,433.70,115,399,1790
288,Johnson model 1,1.98,19,301,76
289,Bubble Face model 2,53.62,139,127,2538
290,Pro Kennex model 2,82.65,109,357,2211
291,Ellis model 3,562.45,94,102,64
292,Reebok model 4,5610.38,134,337,78
293,Roll Out model 4,6588.42,128,277,2584
294,Bubble Face model 1,0.78,54,109,2000
295,First USA model 2,45.93,64,160,2249
296,Nelson model 1,8.36,77,61,257
297,Skip Shot model 2,30.06,110,301,3368
298,E-Force model 4,7763.08,83,253,666
299,Z-Ball model 1,3.06,157,350,750
300,Nike model 4,0845.53,190,171,263
301,Spalding model 2,30.64,184,132,3444
302,Roll Out model 4,0.00,0,0,3742
303,Johnson model 1,0.00,0,0,1347
304,Swain model 4,8271.28,17,271,3557
305,Johnson model 2,0.00,0,0,1237
306,Gosen model 4,4157.44,123,80,2783
307,Bubble Face model 4,4216.44,2,185,3220
308,Head model 4,9469.53,191,58,3912
309,Gemini model 4,4112.84,55,159,3077
310,Bubble Face model 4,9574.84,139,127,2287
311,Nike model 1,1.79,190,188,688
312,Roll Out model 2,94.77,3,146,2901
313,Z-Ball model 3,132.12,130,353,2232
314,First USA model 3,796.06,172,352,1539
315,Santa Anne Company model 3,862.19,90,127,1310
316,Nike model 1,1.63,190,25,2509
317,Roll Out model 4,4551.25,69,115,1043
318,Pro Kennex model 2,60.16,46,68,1679
319,Beefcake model 2,16.94,38,159,664
320,Skip Shot model 1,3.82,89,66,3636
321,Johnson model 3,536.17,131,190,2580
322,Genesis model 3,990.38,147,360,928
323,First USA model 2,84.87,64,84,3072
324,Beefcake model 3,572.83,31,219,1267
325,Reebok model 1,8.83,160,94,393
326,Marty Hogan model 4,9104.62,73,215,2004
327,Gosen model 4,0087.24,106,342,3241
328,Roll Out model 4,3378.80,3,6,2040
329,Santa Anne Company model 1,8.40,198,294,172
330,First USA model 4,7081.50,172,201,1898
331,Ellis model 4,9835.67,16,374,1532
332,CourtPlay model 4,7784.45,18,207,1426
333,Pinch model 2,06.45,117,300,42
334,Wilson model 1,0.60,98,350,3741
335,Spalding model 1,4.68,107,53,2828
336,Nike model 1,9.97,190,188,3098
337,Roll Out model 2,45.97,63,144,2351
338,Skip Shot model 4,3224.23,89,364,939
339,Marty Hogan model 4,6156.15,199,1,1261
340,Pinch model 1,2.73,117,329,1000
341,Wilson model 1,5.35,163,256,1257
342,Z-Ball model 2,86.20,116,351,31
343,Pro Kennex model 4,2274.34,193,211,1693
344,Z-Ball model 4,5239.81,130,375,770
345,Pinch model 1,7.13,121,295,3387
346,Gemini model 2,11.02,55,104,525
347,Wilson model 1,6.10,163,304,43
348,Johnson model 3,020.55,115,116,1619
349,Skip Shot model 2,48.58,156,280,1207
350,Gosen model 2,52.43,135,347,1145
351,Ektelon model 2,50.77,88,215,1349
352,Beefcake model 3,266.14,48,224,1764
353,Head model 4,1460.45,33,40,502
354,Nelson model 2,18.20,62,248,3349
355,Genesis model 3,334.62,30,46,3790
356,Nike model 3,0.00,0,0,2787
357,Swain model 3,282.14,170,84,904
358,Skip Shot model 2,26.37,9,25,3203
359,Ellis model 1,1.34,85,27,438
360,Bubble Face model 4,0.00,0,0,732
361,Bubble Face model 3,392.34,142,73,2327
362,Santa Anne Company model 3,0.00,0,0,537
363,Pinch model 3,246.83,12,48,1858
364,Nelson model 3,318.82,71,54,1748
365,Bubble Face model 3,748.35,139,363,2228
366,Johnson model 3,675.73,28,234,3657
367,Swain model 2,98.52,41,121,2614
368,Beefcake model 4,5763.13,48,117,946
369,CourtPlay model 1,4.80,39,230,1708
370,First USA model 3,416.48,101,43,3432
371,Ellis model 4,4775.33,37,164,823
372,Bubble Face model 4,0.00,0,0,826
373,Reebok model 3,071.92,160,98,3949
374,Ektelon model 1,3.70,112,354,2090
375,Pinch model 3,649.89,44,384,1240
376,E-Force model 4,7782.34,82,163,864
377,Swain model 1,1.76,154,298,835
378,Nelson model 2,89.69,137,60,133
379,Roll Out model 2,87.75,69,353,2509
380,Roll Out model 2,07.52,63,333,3031
381,Wilson model 3,209.14,7,35,129
382,Santa Anne Company model 4,1222.42,6,221,3474
383,Spalding model 4,6888.85,184,147,3877
384,Ellis model 2,72.67,91,260,1858
385,Nike model 2,79.04,190,242,2407
386,Beefcake model 2,39.97,48,119,306
387,Genesis model 3,845.91,147,314,3465
388,Head model 1,6.74,52,183,3962
389,Nike model 3,981.75,141,279,751
390,Skip Shot model 1,0.00,0,0,1595
391,Ektelon model 2,57.11,112,18,2474
392,Ellis model 2,51.70,80,309,112
393,Ellis model 2,02.20,25,235,1509
394,Spalding model 1,0.00,0,0,1234
395,Head model 1,7.60,122,329,1746
396,Marty Hogan model 2,17.22,174,353,1990
397,Ellis model 2,14.92,16,199,3674
398,Wilson model 1,9.72,129,144,3801
399,Beefcake model 1,3.69,48,288,2516
400,Head model 2,16.56,52,231,3603
401,Nelson model 3,0.00,0,0,796
402,Z-Ball model 1,1.91,70,259,1728
403,Pro Kennex model 2,46.04,109,114,1967
404,Johnson model 3,872.25,19,129,867
405,E-Force model 1,1.22,82,393,823
406,Gosen model 3,871.95,123,372,1893
407,Z-Ball model 2,89.30,70,76,674
408,First USA model 4,9952.19,168,97,1673
409,Ellis model 2,77.20,80,268,2970
410,Beefcake model 3,481.90,56,342,2940
411,Wilson model 1,3.06,51,348,2500
412,Z-Ball model 1,6.08,70,76,2681
413,Pinch model 1,1.55,32,106,1651
414,Ellis model 4,2014.12,94,28,1504
415,Gemini model 1,2.46,55,50,1013
416,Z-Ball model 1,4.30,116,37,1244
417,Z-Ball model 3,334.77,57,367,2741
418,Wilson model 3,463.10,129,144,2354
419,Ellis model 2,93.33,74,77,674
420,Pinch model 4,3599.95,32,150,3439
421,Skip Shot model 2,76.56,89,123,2390
422,Spalding model 4,9769.05,107,278,1018
423,Bubble Face model 3,697.24,139,292,2211
424,Pro Kennex model 1,7.72,36,68,1485
425,Reebok model 1,0.29,192,286,2286
426,Z-Ball model 2,60.00,116,21,2408
427,Skip Shot model 2,51.84,185,170,563
428,Reebok model 4,4264.36,4,162,440
429,Wilson model 2,63.72,53,66,195
430,Skip Shot model 2,31.47,110,134,3723
431,Roll Out model 2,79.66,99,324,2472
432,Z-Ball model 2,40.00,26,262,2126
433,Johnson model 4,9224.85,115,302,2768
434,Swain model 4,0187.06,10,159,1964
435,Z-Ball model 4,2169.06,157,365,3790
436,Beefcake model 1,2.67,86,233,1732
437,Santa Anne Company model 2,78.27,125,360,697
438,Ellis model 1,4.78,80,65,1491
439,Beefcake model 1,2.54,38,254,52
440,Nike model 2,64.53,22,81,3597
441,First USA model 3,381.01,101,19,2184
442,Nelson model 4,0.00,0,0,629
443,Wilson model 4,5030.87,195,397,1469
444,First USA model 3,009.37,64,160,3482
445,Z-Ball model 2,85.65,157,170,540
446,Bubble Face model 3,558.57,15,131,3
447,Skip Shot model 1,0.00,0,0,190
448,Bubble Face model 3,961.91,66,105,3826
449,Ellis model 3,291.79,80,309,1923
450,Pinch model 4,4605.27,79,271,2386
451,Bubble Face model 3,914.60,15,252,896
452,CourtPlay model 4,8804.14,84,303,2443
453,Spalding model 2,93.33,61,122,3963
454,Pinch model 3,405.16,121,348,3465
455,Gemini model 4,0963.96,176,45,62
456,Roll Out model 4,0192.91,5,82,1066
457,Reebok model 3,737.00,4,162,3754
458,Beefcake model 3,671.09,56,223,528
459,Wilson model 1,5.99,98,267,856
460,Genesis model 1,2.74,183,278,435
461,Ektelon model 1,3.48,102,86,3007
462,First USA model 2,55.54,172,352,1580
463,Z-Ball model 3,550.67,29,57,3096
464,Gosen model 4,2379.44,111,110,3817
465,Nelson model 2,37.66,71,65,1350
466,Gosen model 1,2.25,167,332,3135
467,Beefcake model 1,6.86,151,200,1299
468,Johnson model 2,98.58,19,313,1026
469,Skip Shot model 3,182.42,105,160,3917
470,Nelson model 2,59.63,71,190,3493
471,Head model 1,6.48,197,389,377
472,First USA model 4,0.00,0,0,2747
473,Beefcake model 3,493.00,108,9,743
474,Roll Out model 4,8173.24,67,131,618
475,Beefcake model 2,56.93,31,19,123
476,Skip Shot model 2,43.65,124,49,2798
477,Gosen model 1,9.56,21,48,2370
478,Ellis model 3,124.26,42,388,2668
479,Marty Hogan model 2,0.00,0,0,1227
480,Roll Out model 2,96.63,78,348,3601
481,Marty Hogan model 4,9164.88,174,297,2905
482,Johnson model 1,1.65,115,328,2184
483,Nelson model 1,1.07,77,53,3712
484,Bubble Face model 1,0.81,142,101,3415
485,Reebok model 2,08.88,60,188,2875
486,Bubble Face model 1,2.31,15,121,2083
487,Wilson model 2,28.19,98,378,1467
488,Ektelon model 3,490.63,178,168,649
489,Bubble Face model 2,12.87,96,136,2228
490,Nelson model 3,352.51,71,210,441
491,Spalding model 3,179.56,1,302,3652
492,Roll Out model 3,833.36,63,351,3541
493,Pinch model 4,7634.90,32,130,2001
494,Nelson model 1,6.32,144,189,2340
495,Pro Kennex model 2,74.74,76,125,586
496,Wilson model 1,6.15,95,49,730
497,Beefcake model 4,0298.15,48,190,3663
498,Z-Ball model 4,6765.39,40,25,73
499,Roll Out model 4,8674.28,164,92,3348
500,Spalding model 1,7.49,184,5,361
501,Santa Anne Company model 4,0.00,0,0,537
502,Pro Kennex model 4,2405.20,186,179,2180
503,Bubble Face model 4,7218.05,97,151,3549
504,Pro Kennex model 4,2641.22,76,317,2764
505,E-Force model 4,0552.30,83,86,211
506,Pro Kennex model 1,5.67,186,250,659
507,Marty Hogan model 4,4478.96,11,358,3971
508,Swain model 4,9627.94,41,239,2361
509,Head model 3,181.66,191,112,2887
510,Wilson model 2,38.92,53,80,3408
511,Pinch model 3,703.01,140,85,3830
512,Reebok model 1,4.23,68,148,2694
513,Santa Anne Company model 2,10.43,125,366,891
514,Wilson model 1,0.60,92,175,239
515,Reebok model 1,5.62,118,340,2556
516,Wilson model 2,05.73,155,207,2774
517,Spalding model 4,5494.65,100,174,1161
518,Spalding model 1,2.31,61,122,1738
519,Swain model 4,2878.10,10,261,795
520,CourtPlay model 3,0.00,0,0,2692
521,Wilson model 2,68.05,53,300,2797
522,Ektelon model 3,223.85,102,195,989
523,Nelson model 1,9.56,62,85,32
524,Beefcake model 3,151.90,56,299,2024
525,Beefcake model 1,9.70,86,73,2780
526,Reebok model 4,8009.17,68,338,3541
527,Wilson model 3,481.28,129,278,1479
528,Spalding model 4,9862.49,61,354,488
529,Wilson model 2,91.33,75,201,2046
530,First USA model 3,308.89,172,61,2254
531,Nelson model 4,0.00,0,0,3006
532,Ellis model 3,670.14,85,323,3454
533,Bubble Face model 1,1.62,54,1,2680
534,Nike model 1,7.42,23,8,3878
535,Roll Out model 4,7978.13,5,124,2007
536,Spalding model 1,5.28,150,160,1199
537,Reebok model 3,662.53,181,286,1961
538,Marty Hogan model 4,3311.20,73,78,421
539,Roll Out model 3,412.28,173,331,1357
540,Swain model 1,0.85,72,258,650
541,First USA model 1,1.82,120,276,2549
542,Ellis model 3,299.10,94,28,3949
543,First USA model 4,3868.54,153,210,2464
544,Ellis model 1,3.18,16,334,2527
545,Head model 3,697.24,197,66,24
546,Santa Anne Company model 1,3.22,6,336,3396
547,Santa Anne Company model 2,88.37,198,33,945
548,Wilson model 4,4895.70,7,103,1740
549,Beefcake model 1,6.34,31,273,3358
550,Skip Shot model 4,6840.88,89,186,3130
551,Bubble Face model 2,16.40,66,120,3933
552,Genesis model 4,0.00,0,0,3834
553,E-Force model 4,0.00,0,0,437
554,Ellis model 1,0.00,0,0,1352
555,Spalding model 1,7.77,100,377,3636
556,Swain model 4,2156.40,170,124,1331
557,Head model 2,10.04,197,90,880
558,Santa Anne Company model 1,5.13,119,350,3962
559,Gosen model 1,7.86,111,58,475
560,Wilson model 2,56.72,75,114,2555
561,Bubble Face model 2,89.61,54,44,1268
562,Genesis model 1,0.19,147,208,1709
563,CourtPlay model 3,635.25,47,97,923
564,Pinch model 4,0496.44,79,254,3502
565,Bubble Face model 3,290.70,97,151,2353
566,Roll Out model 3,688.65,128,291,231
567,Johnson model 1,6.47,131,304,3471
568,Ektelon model 1,8.95,112,331,1080
569,E-Force model 2,64.39,81,46,1637
570,CourtPlay model 2,19.69,18,306,2295
571,Z-Ball model 2,83.65,116,145,2330
572,Head model 2,36.02,149,183,3527
573,Gosen model 1,5.02,135,59,3269
574,Wilson model 1,1.50,98,28,1460
575,Nelson model 1,5.33,77,183,2830
576,Z-Ball model 3,933.67,40,242,3615
577,Johnson model 2,41.49,131,203,2808
578,Ellis model 4,5129.04,42,286,1070
579,Ellis model 2,60.48,104,288,2249
580,Swain model 4,1670.05,154,119,3136
581,Head model 1,4.23,149,40,100
582,Pro Kennex model 1,8.09,196,58,392
583,Pro Kennex model 1,2.47,159,350,1010
584,Santa Anne Company model 3,071.37,132,23,3430
585,E-Force model 4,9675.63,180,318,1665
586,Reebok model 2,45.96,60,291,495
587,Johnson model 2,79.20,115,311,2612
588,Beefcake model 3,240.22,108,27,191
589,Z-Ball model 1,8.63,143,132,2630
590,Pro Kennex model 3,112.07,76,277,3501
591,Spalding model 3,010.13,1,290,2444
592,Skip Shot model 4,4523.41,158,377,2120
593,Roll Out model 2,59.90,69,248,2402
594,Ellis model 1,4.24,91,299,2417
595,Spalding model 3,338.36,150,82,2390
596,Swain model 4,5542.61,154,205,3837
597,E-Force model 1,3.33,81,313,905
598,Ellis model 2,61.64,37,146,354
599,Nelson model 1,5.06,148,31,3775
600,First USA model 1,1.26,120,103,1763
601,Bubble Face model 2,89.61,24,257,3995
602,Wilson model 1,2.85,75,311,3207
603,Ellis model 2,70.10,37,394,748
604,Wilson model 3,169.02,53,354,276
605,Spalding model 4,6854.39,184,86,3904
606,Ektelon model 2,77.97,88,60,2693
607,Z-Ball model 1,6.13,57,139,1712
608,Marty Hogan model 4,0.00,0,0,1243
609,Roll Out model 2,0.00,0,0,2041
610,Nike model 3,944.37,22,293,1622
611,Wilson model 1,0.00,0,0,2193
612,Swain model 3,395.89,189,42,921
613,Head model 2,22.63,146,70,3449
614,Skip Shot model 4,4435.80,185,328,1085
615,First USA model 3,312.47,172,84,1953
616,Genesis model 4,0.00,0,0,2913
617,First USA model 1,6.31,87,49,357
618,Beefcake model 4,9545.74,45,170,3651
619,E-Force model 4,0864.59,81,40,2253
620,Wilson model 1,8.50,98,378,22
621,Johnson model 3,262.90,131,86,3599
622,Nelson model 4,0.00,0,0,36
623,CourtPlay model 1,2.17,169,65,580
624,Pinch model 4,1860.92,44,396,464
625,Ellis model 3,682.61,91,299,332
626,E-Force model 2,64.89,177,261,3193
627,Bubble Face model 2,34.03,15,224,2019
628,Swain model 3,450.71,170,358,3716
629,Skip Shot model 2,81.24,27,186,1326
630,Skip Shot model 4,6944.57,158,363,2191
631,Pinch model 1,6.84,12,298,216
632,First USA model 2,57.27,153,320,2156
633,Pro Kennex model 2,69.94,36,73,3373
634,E-Force model 3,193.45,180,325,3892
635,First USA model 2,00.45,120,382,2566
636,Pro Kennex model 2,56.34,159,180,524
637,Spalding model 3,126.02,184,357,988
638,Wilson model 1,4.37,129,347,1440
639,Genesis model 3,481.61,175,168,3802
640,Spalding model 3,124.11,113,62,390
641,Gosen model 1,5.35,123,34,445
642,CourtPlay model 1,7.96,84,270,1034
643,Spalding model 3,360.32,100,311,1356
644,Pro Kennex model 2,79.17,196,178,246
645,Gosen model 4,3464.61,123,101,1781
646,Gosen model 1,0.35,123,372,3169
647,Roll Out model 2,85.65,128,234,1311
648,Santa Anne Company model 2,0.00,0,0,1753
